Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Afghanistan,2014,8.93,Kilogram,,,
Bahrain,2011,1.48,Kilogram,,,
Iran (Islamic Republic of),2015,"2,143",Kilogram,,,
Iran (Islamic Republic of),2014,"2,644",Kilogram,,,
Iran (Islamic Republic of),2013,"3,677",Kilogram,,,
Iran (Islamic Republic of),2012,"3,357",Kilogram,,,
Iran (Islamic Republic of),2011,"3,917",Kilogram,,,
Jordan,2012,3.3,Kilogram,,,
Pakistan,2015,38.65,Kilogram,,,
Pakistan,2014,36.44,Kilogram,,,
Pakistan,2013,18.27,Kilogram,,,
Syrian Arab Republic,2011,26.5,Kilogram,,,
United Arab Emirates,2015,6,Kilogram,,,
United Arab Emirates,2012,187,Kilogram,,,
Bangladesh,2011,37,Kilogram,,,
India,2015,31.27,Kilogram,,,
India,2014,30,Kilogram,,,
India,2012,1.14,Kilogram,,,
India,2011,469,Kilogram,,,
Sri Lanka,2013,1.97,Kilogram,,,
Sri Lanka,2012,3.78,Kilogram,,,
Sri Lanka,2011,1.77,Kilogram,,,
Belarus,2013,5.62,Kilogram,,,
Belarus,2012,5.3,Kilogram,,,
Belarus,2011,1.8,Kilogram,,,
Republic of Moldova,2015,0.16,Kilogram,,,
Republic of Moldova,2014,0.09,Kilogram,,,
Russian Federation,2015,60.94,Kilogram,,,
Russian Federation,2014,51,Kilogram,,,
Russian Federation,2013,43.8,Kilogram,,,
Russian Federation,2012,42.5,Kilogram,,,
Russian Federation,2011,58.88,Kilogram,,,
Ukraine,2015,12.79,Kilogram,,,
Ukraine,2011,5.1,Kilogram,,,
Bulgaria,2015,30.13,Kilogram,,,
Bulgaria,2014,32.56,Kilogram,,,
Bulgaria,2013,6.41,Kilogram,,,
Bulgaria,2012,2,Kilogram,,,
Bulgaria,2011,24.37,Kilogram,,,
Croatia,2015,0.5,Kilogram,,,
Croatia,2014,0.2,Kilogram,,,
Croatia,2012,0.0009,Kilogram,,,
Romania,2012,3.27,Kilogram,,,
Romania,2011,24.35,Kilogram,,,
Serbia,2015,0.14,Kilogram,,,
The former Yugoslav Republic of Macedonia,2013,0.007,Kilogram,,,
The former Yugoslav Republic of Macedonia,2011,0.13,Kilogram,,,
Turkey,2015,254.31,Kilogram,,,
Turkey,2014,127.94,Kilogram,,,
Turkey,2013,105.18,Kilogram,,,
Turkey,2012,502.1,Kilogram,,,
Turkey,2011,350.43,Kilogram,,,
Austria,2015,2.94,Kilogram,,,
Austria,2014,4.73,Kilogram,,,
Austria,2013,7.57,Kilogram,,,
Austria,2012,3.24,Kilogram,,,
Austria,2011,2.5,Kilogram,,,
Belgium,2015,3.83,Kilogram,,,
Belgium,2014,9.01,Kilogram,,,
Belgium,2013,37.59,Kilogram,,,
Belgium,2012,3.4,Kilogram,,,
