Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Singapore,2012,66.38,Kilogram,,,
Singapore,2011,72.82,Kilogram,,,
Thailand,2015,202.53,Kilogram,,,
Thailand,2014,480,Kilogram,,,
Thailand,2013,750.1,Kilogram,,,
Thailand,2012,127.5,Kilogram,,,
Thailand,2011,540,Kilogram,,,
Viet Nam,2015,"1,510",Kilogram,,,
Viet Nam,2014,922,Kilogram,,,
Viet Nam,2013,940,Kilogram,,,
Viet Nam,2012,692,Kilogram,,,
Viet Nam,2011,309.16,Kilogram,,,
Afghanistan,2015,"5,307.90",Kilogram,,,
Afghanistan,2014,"3,753.73",Kilogram,,,
Afghanistan,2013,"7,156.67",Kilogram,,,
Afghanistan,2012,"7,262.48",Kilogram,,,
Afghanistan,2011,"10,983.44",Kilogram,,,
Bahrain,2015,23,Kilogram,,,
Bahrain,2011,3.7,Kilogram,,,
Iran (Islamic Republic of),2015,"16,116",Kilogram,,,
Iran (Islamic Republic of),2014,"13,459",Kilogram,,,
Iran (Islamic Republic of),2013,"13,730",Kilogram,,,
Iran (Islamic Republic of),2012,"10,181",Kilogram,,,
Iran (Islamic Republic of),2011,"23,096",Kilogram,,,
Israel,2015,9.1,Kilogram,,,
Israel,2014,14.5,Kilogram,,,
Israel,2013,52,Kilogram,,,
Israel,2012,130,Kilogram,,,
Israel,2011,18,Kilogram,,,
Jordan,2014,147,Kilogram,,,
Jordan,2013,244.08,Kilogram,,,
Jordan,2012,45.94,Kilogram,,,
Jordan,2011,92.4,Kilogram,,,
Kuwait,2011,12,Kilogram,,,
Lebanon,2015,5.76,Kilogram,,,
Lebanon,2014,3,Kilogram,,,
Lebanon,2013,16,Kilogram,,,
Lebanon,2012,20.29,Kilogram,,,
Lebanon,2011,11.92,Kilogram,,,
Pakistan,2015,"16,347.83",Kilogram,,,
Pakistan,2014,"7,183.87",Kilogram,,,
Pakistan,2013,"11,130.66",Kilogram,,,
Pakistan,2012,"12,630.15",Kilogram,,,
Pakistan,2011,"7,651.17",Kilogram,,,
Qatar,2011,11.94,Kilogram,,,
Saudi Arabia,2015,47,Kilogram,,,
Saudi Arabia,2014,10.25,Kilogram,,,
Saudi Arabia,2013,17.16,Kilogram,,,
Saudi Arabia,2012,50.6,Kilogram,,,
Syrian Arab Republic,2014,30.5,Kilogram,,,
Syrian Arab Republic,2013,28,Kilogram,,,
Syrian Arab Republic,2012,37.5,Kilogram,,,
Syrian Arab Republic,2011,92,Kilogram,,,
United Arab Emirates,2015,211,Kilogram,,,
United Arab Emirates,2012,158,Kilogram,,,
Bangladesh,2015,109.8,Kilogram,,,
Bangladesh,2014,30.3,Kilogram,,,
Bangladesh,2013,123.7,Kilogram,,,
Bangladesh,2012,126.4,Kilogram,,,
Bangladesh,2011,104.18,Kilogram,,,
India,2015,"1,416",Kilogram,,,
India,2014,"1,379.74",Kilogram,,,
India,2013,"1,450",Kilogram,,,
India,2012,"1,028.66",Kilogram,,,
India,2011,527.54,Kilogram,,,
Sri Lanka,2015,46.67,Kilogram,,,
Sri Lanka,2014,312.91,Kilogram,,,
Sri Lanka,2013,350.55,Kilogram,,,
Sri Lanka,2012,33.26,Kilogram,,,
Sri Lanka,2011,39.26,Kilogram,,,
Belarus,2014,2.6,Kilogram,,,
Belarus,2013,88.72,Kilogram,,,
Belarus,2012,2.4,Kilogram,,,
Belarus,2011,3.5,Kilogram,,,
Republic of Moldova,2015,139.75,Kilogram,,,
Republic of Moldova,2014,1.96,Kilogram,,,
Republic of Moldova,2012,1.44,Kilogram,,,
Russian Federation,2015,"1,998.79",Kilogram,,,
Russian Federation,2014,"3,226.80",Kilogram,,,
Russian Federation,2013,"2,447.60",Kilogram,,,
Russian Federation,2012,"2,176.20",Kilogram,,,
Russian Federation,2011,"2,014.66",Kilogram,,,
Ukraine,2015,804.59,Kilogram,,,
Ukraine,2014,37.98,Kilogram,,,
Ukraine,2013,110.11,Kilogram,,,
Ukraine,2012,9.36,Kilogram,,,
Ukraine,2011,10.34,Kilogram,,,
Albania,2015,36.93,Kilogram,,,
Albania,2013,47.4,Kilogram,,,
Albania,2012,87.72,Kilogram,,,
Albania,2011,21.41,Kilogram,,,
Bosnia and Herzegovina,2013,7.88,Kilogram,,,
Bosnia and Herzegovina,2011,10.21,Kilogram,,,
Bulgaria,2015,265.42,Kilogram,,,
Bulgaria,2014,940.49,Kilogram,,,
Bulgaria,2013,210.01,Kilogram,,,
Bulgaria,2012,198.1,Kilogram,,,
Bulgaria,2011,383.66,Kilogram,,,
Croatia,2015,157,Kilogram,,,
Croatia,2014,45.65,Kilogram,,,
Croatia,2013,10.43,Kilogram,,,
Croatia,2012,29.74,Kilogram,,,
Croatia,2011,33.16,Kilogram,,,
Kosovo under UNSCR 1254,2015,9.6,Kilogram,,,
Kosovo under UNSCR 1267,2014,9.6,Kilogram,,,
Kosovo under UNSCR 1281,2013,22.5,Kilogram,,,
Kosovo under UNSCR 1294,2012,94.1,Kilogram,,,
Kosovo under UNSCR 1306,2011,60.2,Kilogram,,,
Montenegro,2015,4.63,Kilogram,,,
Montenegro,2014,2.43,Kilogram,,,
Montenegro,2013,7.18,Kilogram,,,
Montenegro,2012,8.04,Kilogram,,,
Romania,2015,334.2,Kilogram,,,
Romania,2014,25.79,Kilogram,,,
Romania,2013,111.56,Kilogram,,,
Romania,2012,45.22,Kilogram,,,
Romania,2011,12.19,Kilogram,,,
Serbia,2015,69.8,Kilogram,,,
Serbia,2014,193.1,Kilogram,,,
Serbia,2013,56.6,Kilogram,,,
Serbia,2011,64.86,Kilogram,,,
The former Yugoslav Republic of Macedonia,2015,7.34,Kilogram,,,
The former Yugoslav Republic of Macedonia,2014,24.3,Kilogram,,,
The former Yugoslav Republic of Macedonia,2013,17.4,Kilogram,,,
The former Yugoslav Republic of Macedonia,2012,71.4,Kilogram,,,
The former Yugoslav Republic of Macedonia,2011,23.7,Kilogram,,,
Turkey,2015,"8,294.15",Kilogram,,,
Turkey,2014,"12,755.54",Kilogram,,,
Turkey,2013,"13,480.06",Kilogram,,,
Turkey,2012,"13,300.68",Kilogram,,,
Turkey,2011,"7,293.99",Kilogram,,,
Austria,2015,69.53,Kilogram,,,
Austria,2014,56.16,Kilogram,,,
Austria,2013,80.25,Kilogram,,,
Austria,2012,222.11,Kilogram,,,
Austria,2011,65,Kilogram,,,
Belgium,2015,121.02,Kilogram,,,
Belgium,2014,149.04,Kilogram,,,
Belgium,2013,"1,182.37",Kilogram,,,
Belgium,2012,112.49,Kilogram,,,
Belgium,2011,140.35,Kilogram,,,
Cyprus,2013,0.74,Kilogram,,,
Cyprus,2012,1.13,Kilogram,,,
Cyprus,2011,0.6,Kilogram,,,
Czechia,2015,1.6,Kilogram,,,
Czechia,2014,156.81,Kilogram,,,
Czechia,2013,5.05,Kilogram,,,
Czechia,2012,7.58,Kilogram,,,
Czechia,2011,4.73,Kilogram,,,
Denmark,2015,28.95,Kilogram,,,
Denmark,2014,13,Kilogram,,,
Denmark,2013,13.69,Kilogram,,,
Denmark,2012,39.38,Kilogram,,,
Denmark,2011,37,Kilogram,,,
Estonia,2011,0.05,Kilogram,,,
Finland,2015,0.42,Kilogram,,,
Finland,2014,0.09,Kilogram,,,
Finland,2013,0.2,Kilogram,,,
Finland,2012,0.07,Kilogram,,,
Finland,2011,1,Kilogram,,,
France,2015,818,Kilogram,,,
France,2014,990,Kilogram,,,
France,2013,570,Kilogram,,,
France,2012,701,Kilogram,,,
France,2011,883.58,Kilogram,,,
Germany,2015,209.57,Kilogram,,,
Germany,2014,779.14,Kilogram,,,
Germany,2013,270.19,Kilogram,,,
Germany,2012,241.74,Kilogram,,,
Germany,2011,497.82,Kilogram,,,
Greece,2015,566.63,Kilogram,,,
Greece,2014,"2,588.04",Kilogram,,,
Greece,2013,235.5,Kilogram,,,
Greece,2012,331.14,Kilogram,,,
Greece,2011,341.5,Kilogram,,,
Hungary,2015,11.74,Kilogram,,,
Hungary,2014,70.06,Kilogram,,,
Hungary,2013,5.72,Kilogram,,,
Hungary,2012,2.51,Kilogram,,,
Hungary,2011,3.17,Kilogram,,,
Ireland,2015,61.93,Kilogram,,,
Ireland,2014,39.47,Kilogram,,,
Ireland,2013,67.9,Kilogram,,,
Italy,2015,767.5,Kilogram,,,
Italy,2015,5.32,Kilogram,,,
Italy,2014,931.13,Kilogram,,,
Italy,2014,5.01,Kilogram,,,
Italy,2013,881.85,Kilogram,,,
Italy,2012,950.92,Kilogram,,,
Italy,2011,810.93,Kilogram,,,
Latvia,2015,10.09,Kilogram,,,
Latvia,2014,1.08,Kilogram,,,
Latvia,2013,0.72,Kilogram,,,
Lithuania,2015,1.82,Kilogram,,,
Lithuania,2014,6.88,Kilogram,,,
Lithuania,2013,13.19,Kilogram,,,
Lithuania,2011,10.61,Kilogram,,,
Luxembourg,2015,6.73,Kilogram,,,
Luxembourg,2013,3.81,Kilogram,,,
Luxembourg,2012,23.9,Kilogram,,,
Luxembourg,2011,23.9,Kilogram,,,
Malta,2015,3.88,Kilogram,,,
Malta,2014,1.77,Kilogram,,,
Malta,2013,1.3,Kilogram,,,
Malta,2012,1.33,Kilogram,,,
Malta,2011,3.97,Kilogram,,,
Netherlands,2015,230,Kilogram,,,
Netherlands,2014,"1,992.42",Kilogram,,,
Netherlands,2013,301.58,Kilogram,,,
Netherlands,2012,750,Kilogram,,,
Norway,2015,61.1,Kilogram,,,
Norway,2014,44.38,Kilogram,,,
Norway,2013,54.96,Kilogram,,,
Norway,2012,44.45,Kilogram,,,
Norway,2011,14.66,Kilogram,,,
Poland,2015,3.8,Kilogram,,,
Poland,2014,272.71,Kilogram,,,
Poland,2013,5.03,Kilogram,,,
Poland,2012,35.62,Kilogram,,,
Poland,2011,51.36,Kilogram,,,
Portugal,2015,97.27,Kilogram,,,
Portugal,2014,38.69,Kilogram,,,
Portugal,2013,55.46,Kilogram,,,
Portugal,2012,65.54,Kilogram,,,
Portugal,2011,72.91,Kilogram,,,
Slovakia,2015,2.63,Kilogram,,,
